Load,FO_Consumption,Exh_in,m_exh,T_D2,HT_pump,Pump_eff,Heat_block,T_sw_in,P_sw_in,Power,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,ORC_Pump_eff,P_chamber,Pinch_point_des,T_des_surface,N_TEG,TEG_hot,TEG_cold,T_sw_in_TEG_4,Exergy_eff_WHRS,WHRS_cycle_output,New_FO,CO2_red,EPC
110,201.81,699.15,6.82,369.15,401000,0.75,516.26,288.28,240000,3300,25,10,25,10,660000,0.75,20000,10,333.15,100,335.115,276,317.8702092,16.14171176,563.3322626,172.3830504,14.58151213,0.22114743
110,201.81,699.15,6.82,369.15,315000,0.75,516.26,288.28,240000,3300,3,10,8,6,660000,0.75,11000,10,333.15,100,335.115,276,318.5629004,14.90404018,514.6000757,174.5852742,13.49027593,0.242089903
100,206.04,682.15,6.24,369.15,315000,0.75,405.0329,288.28,240000,3000,2,1,2,2,560000,0.75,9000,10,333.15,100,335.115,276,318.9835131,15.91412188,493.8375777,176.917211,14.13453164,0.25226813
100,206.04,682.15,6.24,369.15,315000,0.75,405.0329,288.28,240000,3000,22,5.63,7,3,560000,0.75,11300,10,333.15,100,335.115,276,319.0045164,15.79522436,487.6889641,177.2291068,13.9831553,0.255448639
100,206.04,682.15,6.24,369.15,385000,0.75,405.0329,288.28,240000,3000,16,4.19,21.22,5.62,600000,0.75,10000,10,333.15,100,335.115,276,318.1401813,16.40161716,510.9573724,176.0545442,14.55322062,0.243815804
100,206.04,682.15,6.24,369.15,355000,0.75,405.0329,288.28,240000,3000,20,10,5,9.867,640000,0.75,14500,10,333.15,100,335.115,276,318.7653753,15.92315995,498.3752162,176.687737,14.24590518,0.249971263
100,206.04,682.15,6.24,369.15,415000,0.75,405.0329,288.28,240000,3000,25,3.5,22,1,640000,0.75,20000,10,333.15,100,335.115,276,318.1183979,17.44029399,552.3152111,174.0048288,15.54803497,0.225558666
100,206.04,682.15,6.24,369.15,315000,0.75,405.0329,288.28,240000,3000,25,8,22,1,640000,0.75,20000,10,333.15,100,335.115,276,318.3340886,16.49712906,511.8056827,176.0120166,14.57386111,0.243411683
100,206.04,682.15,6.24,369.15,367500,0.75,405.0329,288.28,240000,3000,7,9,25,8.8,600000,0.75,14000,10,333.15,100,335.115,276,318.1306792,16.21592362,505.382022,176.334561,14.41731654,0.246505568
100,206.04,682.15,6.24,369.15,315000,0.75,405.0329,288.28,240000,3000,13.136,9.82,3,4,635000,0.75,12500,10,333.15,100,335.115,276,319.0506103,15.58564005,485.9284513,177.3186136,13.93971385,0.256374127
100,206.04,682.15,6.24,369.15,392000,0.75,405.0329,288.28,240000,3000,8,1.63,3,7.77,660000,0.75,12500,10,333.15,100,335.115,276,318.4120799,16.72133432,528.8211847,175.1633103,14.98577448,0.235579598
100,206.04,682.15,6.24,369.15,407000,0.75,405.0329,288.28,240000,3000,11.623,7,6.52,5.15,560000,0.75,9000,10,333.15,100,335.115,276,318.9952797,15.95812571,502.453028,176.4820242,14.34574637,0.247942545
80,214.5,669.15,5.08,369.15,320000,0.75,403.6603,288.28,240000,2400,9,7,9,7,560000,0.75,9000,10,333.15,100,335.115,276,319.0447805,16.30770444,427.8979985,182.0433411,15.1313095,0.291142942
80,214.5,669.15,5.08,369.15,400000,0.75,403.6603,288.28,240000,2400,6,10,23,10,660000,0.75,20000,10,333.15,100,335.115,276,318.2110971,17.72695232,476.5107703,178.9668251,16.56558269,0.261441063
80,214.5,669.15,5.08,369.15,400000,0.75,403.6603,288.28,240000,2400,20,1.2,1.33,8,627000,0.75,20000,10,333.15,100,335.115,276,318.8662255,18.09173496,489.3634555,178.1707314,16.93672198,0.254574552
80,214.5,669.15,5.08,369.15,415000,0.75,403.6603,288.28,240000,2400,17.68,3.42,1.76,1.76,567000,0.75,10000,10,333.15,100,335.115,276,319.3996254,17.21437645,464.240505,179.7335102,16.20815376,0.268351169
80,214.5,669.15,5.08,369.15,415000,0.75,403.6603,288.28,240000,2400,5,5,1.76,1.76,660000,0.75,11000,10,333.15,100,335.115,276,319.0937392,17.35050638,472.3524671,179.2259153,16.44479473,0.263742631
80,214.5,669.15,5.08,369.15,315000,0.75,403.6603,288.28,240000,2400,5,5,1.76,10,660000,0.75,11000,10,333.15,100,335.115,276,318.7805192,16.69983602,442.0304022,181.1381045,15.55333123,0.281834647
80,214.5,669.15,5.08,369.15,375000,0.75,403.6603,288.28,240000,2400,24.98,2.68,14,6,600000,0.75,13000,10,333.15,100,335.115,276,318.6027585,17.54042711,465.8077095,179.6352206,16.25397642,0.267448305
80,214.5,669.15,5.08,369.15,392000,0.75,403.6603,288.28,240000,2400,12.156,3.456,6.72,10,603000,0.75,13000,10,333.15,100,335.115,276,318.7393331,17.38852375,465.0597081,179.6821192,16.23211226,0.267878468
80,214.5,669.15,5.08,369.15,322000,0.75,403.6603,288.28,240000,2400,22.156,7.456,25,1,653000,0.75,17200,10,333.15,100,335.115,276,318.3536625,17.56189244,464.5847261,179.7119126,16.21822255,0.268152342
80,214.5,669.15,5.08,369.15,413000,0.75,403.6603,288.28,240000,2400,20,2,25,8,622000,0.75,15600,10,333.15,100,335.115,276,318.0238828,18.12465366,483.3302866,178.5435413,16.76291783,0.257752278
75,210.56,666.15,4.79,369.15,413000,0.75,295.9343,288.28,240000,2250,20,2,25,8,570000,0.75,19000,10,333.15,100,335.115,276,318.2555915,18.51761467,473.4713662,173.9544634,17.38484832,0.263119359
75,210.56,666.15,4.79,369.15,400000,0.75,295.9343,288.28,240000,2250,19,7.33,23.215,6.81,570000,0.75,9000,10,333.15,100,335.115,276,318.5462769,17.16223632,434.6085981,176.4726524,16.18889988,0.286647533
75,210.56,666.15,4.79,369.15,315000,0.75,295.9343,288.28,240000,2250,7,1.6,10,5.23,650000,0.75,9000,10,333.15,100,335.115,276,318.6097373,17.15145692,433.4598676,176.5481965,16.15302218,0.28740719
75,210.56,666.15,4.79,369.15,415000,0.75,295.9343,288.28,240000,2250,7,1.6,10,5.23,650000,0.75,9000,10,333.15,100,335.115,276,318.6142245,17.62913543,454.3733242,175.1829142,16.80142753,0.274178689
75,210.56,666.15,4.79,369.15,415000,0.75,295.9343,288.28,240000,2250,25,10,25,10,660000,0.75,16000,10,333.15,100,335.115,276,318.1994987,17.86071582,457.507823,174.9801038,16.89774704,0.272300223
75,210.56,666.15,4.79,369.15,372000,0.75,295.9343,288.28,240000,2250,12.36,10,1,10,612000,0.75,9500,10,333.15,100,335.115,276,319.2270998,16.60704848,425.0127973,177.1056948,15.88825286,0.293119368
75,210.56,666.15,4.79,369.15,369000,0.75,295.9343,288.28,240000,2250,2.67,1.82,14.13,10,582000,0.75,10000,10,333.15,100,335.115,276,318.5204391,17.39148677,441.0472952,176.0504176,16.38942935,0.282462864
75,210.56,666.15,4.79,369.15,316000,0.75,295.9343,288.28,240000,2250,17,6,15,9,560000,0.75,10000,10,333.15,100,335.115,276,318.765586,16.78966011,419.5757749,177.4663991,15.7169457,0.29691772
75,210.56,666.15,4.79,369.15,343000,0.75,295.9343,288.28,240000,2250,22,7,2.58,6,653000,0.75,10200,10,333.15,100,335.115,276,319.0720115,16.95608321,432.7986317,176.5917108,16.13235621,0.287846294
75,210.56,666.15,4.79,369.15,372000,0.75,295.9343,288.28,240000,2250,12,8,6,5,653000,0.75,10200,10,333.15,100,335.115,276,319.0016836,17.07610351,438.9883657,176.1852175,16.32540963,0.283787663
70,206.62,657.15,4.5,369.15,372000,0.75,230.66,288.28,240000,2100,12,8,6,5,653000,0.75,12200,10,333.15,100,335.115,276,319.0648225,17.67261183,430.3770925,171.4772084,17.00841719,0.289465877
70,206.62,657.15,4.5,369.15,406000,0.75,230.66,288.28,240000,2100,7,1,15,10,586000,0.75,20000,10,333.15,100,335.115,276,318.5398301,18.84385935,458.1399073,169.6162117,17.90910286,0.271924537
65,202.68,648.15,4.21,369.15,415000,0.75,202.12,288.28,240000,1950,16,5,2,7,572000,0.75,13200,10,333.15,100,335.115,276,319.4170818,18.28743089,421.6126981,166.648627,17.77746841,0.295483231
65,202.68,648.15,4.21,369.15,315000,0.75,202.12,288.28,240000,1950,6,7.82,23,7.77,585000,0.75,17200,10,333.15,100,335.115,276,318.5938164,18.3865348,413.7633977,167.2020137,17.50443374,0.301088697
60,198.74,639.15,3.92,369.15,335000,0.75,175.24,288.28,240000,1800,4,5.66,20,9,600000,0.75,13300,10,333.15,100,335.115,276,318.6120465,18.68954696,397.4441168,162.7945836,18.08665412,0.31345157
60,198.74,639.15,3.92,369.15,335000,0.75,175.24,288.28,240000,1800,24,10,25,1,600000,0.75,20000,10,333.15,100,335.115,276,318.8233822,19.2609799,413.611881,161.6055656,18.68493229,0.301198994
55,194.8,630.15,3.63,369.15,363000,0.75,150.06,288.28,240000,1650,20,10,7,7,600000,0.75,20000,10,333.15,100,335.115,276,319.3624578,19.39462905,397.8784185,156.952677,19.42881056,0.313109424
55,194.8,630.15,3.63,369.15,413000,0.75,150.06,288.28,240000,1650,4.57,10,16.44,4.78,560000,0.75,12000,10,333.15,100,335.115,276,319.2068219,18.90161949,385.1943894,157.9308599,18.92666329,0.323419774
50,185.789,622.15,3.29,369.15,413000,0.75,126.62,288.28,240000,1500,4.57,10,16.44,4.78,560000,0.75,12000,10,333.15,100,335.115,276,319.2563623,19.39658881,371.2940081,148.9255557,19.84156453,0.335527856
50,185.789,622.15,3.29,369.15,401000,0.75,126.62,288.28,240000,1500,20,3.5,2,3,570000,0.75,16000,10,333.15,100,335.115,276,319.7610398,19.98176168,388.5462578,147.5650908,20.57382795,0.320629732
45,186.92,616.15,3.05,369.15,391000,0.75,104.94,288.28,240000,1350,5,6,2,9,577000,0.75,19000,10,333.15,100,335.115,276,319.5708415,20.33196975,377.3266147,146.0881792,21.84454356,0.330163517
45,186.92,616.15,3.05,369.15,371000,0.75,104.94,288.28,240000,1350,9,1,23,9,579000,0.75,10000,10,333.15,100,335.115,276,318.6547262,19.98011174,358.21436,147.7226781,20.97010588,0.347779141
40,182.98,611.15,2.76,369.15,363000,0.75,85.06,288.28,240000,1200,24,1,3.2,7,579000,0.75,10000,10,333.15,100,335.115,276,319.5725268,19.95416937,346.2829605,142.0024702,22.39454029,0.359762092
40,182.98,611.15,2.76,369.15,315000,0.75,85.06,288.28,240000,1200,1,1,25,6,660000,0.75,10000,10,333.15,100,335.115,276,318.4583284,20.5745449,352.1263775,141.4678619,22.6867079,0.353791963
35,179.04,605.15,2.47,369.15,415000,0.75,67.05,288.28,240000,1050,7.45,6,12,5,623000,0.75,16500,10,333.15,100,335.115,276,319.2445895,21.4676356,360.644653,133.2667299,25.5659462,0.345435545
35,179.04,605.15,2.47,369.15,379000,0.75,67.05,288.28,240000,1050,22.31,8.41,12,3.26,623000,0.75,16500,10,333.15,100,335.115,276,319.3502173,21.36268528,357.9632426,133.5205312,25.42418948,0.348023114
30,175.1,600.15,2.18,369.15,401000,0.75,50.94,288.28,240000,900,2.31,2.41,23.7,3.3,655000,0.75,18500,10,333.15,100,335.115,276,318.7330654,22.73806242,362.4161367,124.8320545,28.70813563,0.343747062
30,175.1,600.15,2.18,369.15,401000,0.75,50.94,288.28,240000,900,25,10,25,10,660000,0.75,20000,10,333.15,100,335.115,276,318.5574053,22.49157672,354.5993033,125.6098259,28.26394868,0.351324668