P_ORC,CO2_red,EPC,Exergy_eff_WHRS,CO2_red,EPC,Better
21.18,25.08,0.3515,17.72,17.12,0.2753,A
16.79,16.39,0.2508,18.87,18.41,0.3045,A
19.76,19.97,0.3212,21.41,25.97,0.3535,B
19.72,19.92,0.3225,16.54,16.21,0.2483,B
16.68,16.27,0.2493,20.49,22.40,0.3399,A
17.96,17.19,0.2842,16.32,14.67,0.2405,A
16.30,14.66,0.2375,17.30,16.70,0.2656,B
19.35,19.13,0.3094,20.57,22.99,0.3447,B
19.46,19.39,0.3154,19.40,19.29,0.3127,A
17.18,16.66,0.2603,21.66,26.84,0.3546,B
20.87,24.05,0.3502,19.87,20.21,0.3214,A
16.76,16.37,0.2512,19.95,20.41,0.3248,A
16.35,14.83,0.2412,19.25,19.03,0.3110,A
20.54,22.66,0.3415,16.26,14.65,0.2416,A
16.34,14.88,0.2423,16.35,14.70,0.2395,A
20.56,22.67,0.3410,17.79,17.16,0.2772,A
19.08,18.67,0.3043,17.05,16.62,0.2556,B
21.38,25.59,0.3504,21.41,25.76,0.3514,B
17.97,17.23,0.2871,16.40,16.19,0.2452,B
19.02,18.65,0.3082,16.32,14.73,0.2415,B
21.47,26.06,0.3527,16.29,14.81,0.2418,A
17.34,16.78,0.2615,17.81,17.16,0.2799,A
18.58,17.96,0.2958,19.93,20.43,0.3265,B
21.43,25.98,0.3533,20.40,21.81,0.3329,A
17.95,17.24,0.2844,20.46,22.42,0.3409,B
16.33,14.90,0.2412,21.65,26.87,0.3551,B
16.33,14.73,0.2393,18.25,17.55,0.2936,A
16.31,14.73,0.2400,20.00,20.47,0.3242,A
21.39,25.81,0.3529,19.37,19.23,0.3124,A
19.64,19.79,0.3222,17.94,17.25,0.2803,B
19.97,20.48,0.3254,16.29,14.65,0.2405,B
17.47,16.91,0.2693,21.04,24.54,0.3492,B
16.75,16.33,0.2520,16.62,16.25,0.2485,A
19.98,20.53,0.3252,20.07,20.70,0.3258,B
20.20,21.30,0.3332,18.51,17.90,0.2960,A
17.54,16.87,0.2700,19.58,19.62,0.3189,A
20.53,22.23,0.3355,21.39,26.03,0.3545,B
16.43,14.83,0.2379,16.32,16.04,0.2490,B
18.25,17.59,0.2985,17.41,16.85,0.2624,B
21.00,24.34,0.3494,16.54,15.81,0.2469,A
20.47,22.34,0.3395,19.52,19.40,0.3108,A
18.31,17.62,0.2910,18.72,18.22,0.3033,B
16.74,16.36,0.2548,16.36,14.70,0.2384,A
21.97,27.46,0.3524,17.47,16.96,0.2688,A
18.75,18.25,0.3027,21.63,26.70,0.3536,B
16.48,16.04,0.2446,17.78,17.07,0.2800,A
20.40,21.84,0.3345,16.68,16.28,0.2500,B
16.31,14.70,0.2394,20.47,22.68,0.3438,A
16.33,14.99,0.2417,21.12,24.69,0.3488,A
20.48,22.33,0.3377,20.53,22.78,0.3430,A